Datetime,Acreage,TotalFloor,TotalBedroom,TotalBathroom,HouseUtilities,HouseMinusPoint,RoomMultipurpose,OuterUtilities,HouseType,City,District,Price,million/m2,Longitude,Latitude
2023,250.0,7,9.0,7.0,0,0,0,8,Bán Nhà mặt phố,TP Hồ Chí Minh,Tân Bình,67.0,268.0,106.66523106900442,10.797672200000001
2023,273.0,4,6.0,1.0,1,0,0,0,Bán Nhà mặt phố,Thừa Thiên Huế,Huế,1.68,6.153846153846154,107.5863388,16.4639321
2023,35.0,5,5.0,5.0,5,1,2,7,Bán Nhà riêng,Hà Nội,Cầu Giấy,5.0,142.85714285714286,105.80343767219591,21.02916475
2023,270.0,6,4.0,4.0,1,0,0,6,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 12,26.0,96.29629629629628,106.66420925636413,10.861410750000001
2023,56.0,3,3.0,3.0,3,0,0,3,Bán Nhà riêng,TP Hồ Chí Minh,Thủ Đức,6.5,116.07142857142856,106.7617899,10.8298295
2023,40.6,4,4.0,4.0,1,0,1,7,Bán Nhà riêng,TP Hồ Chí Minh,Quận 4,8.2,201.97044334975368,106.70710890359896,10.7607295
2023,90.0,2,4.0,5.0,0,0,3,9,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,12.3,136.66666666666666,106.72971280655217,10.737754800000001
2023,90.0,2,4.0,5.0,0,0,3,9,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,12.3,136.66666666666666,106.72971280655217,10.737754800000001
2023,30.0,1,4.0,3.0,6,2,2,8,Bán Nhà riêng,TP Hồ Chí Minh,Quận 10,4.75,158.33333333333334,106.66821544343898,10.7726536
2023,60.0,2,2.0,2.0,2,0,0,5,Bán Nhà riêng,TP Hồ Chí Minh,Tân Bình,7.3,121.66666666666669,106.66523106900442,10.797672200000001
2023,49.0,4,3.0,2.0,0,0,1,4,Bán Nhà riêng,TP Hồ Chí Minh,Gò Vấp,3.9,79.59183673469387,106.6403038,10.8440568
2023,200.0,3,4.0,4.0,3,0,0,1,Bán Nhà riêng,TP Hồ Chí Minh,Quận 9,22.5,112.5,106.7715507,10.8311346
